id,name,Class Nbr.,Class Name,spacegroup,spacegroupset,Locality Num
46019,Oxo-magnesio-hastingsite,5,Prismatic,11,C2/m ,4
46033,Centennialite,13,Hexagonal scalenohedral,97,0,1
46037,Fluorlamprophyllite,5,Prismatic,11,C2/m ,5
46039,Achalaite,5,Prismatic,10,C2/c ,2
46041,Negevite,29,Diploidal,204,0,4
46043,Halamishite,18,Dihexagonal pyramidal,114,P63mc,3
46045,Transjordanite,17,Ditrigonal dipyramidal,110,P-62m,7
46047,Zuktamrurite,8,Orthorhombic dipyramidal,73,Pnnm ,3
46049,Waimirite-(Y),8,Orthorhombic dipyramidal,71,Pnma ,2
46052,Jahnsite-(CaFeMg),5,Prismatic,12,P2/a,2
46055,Torrecillasite,0,Unknown,0,0,1
46057,Backite,12,Trigonal trapezohedral,88,P3 1 2,3
46059,Kitagohaite,32,Hexoctahedral,0,0,7
46061,Lukkulaisvaaraite,23,Tetragonal dipyramidal,135,I4/m,5
46063,Kononovite,5,Prismatic,10,C2/c ,1
46065,Natropalermoite,8,Orthorhombic dipyramidal,0,0,1
46067,Ishiharaite,30,Hextetrahedral,208,F-4 3m,1
46069,Mojaveite,9,Trigonal pyramidal,78,R3,15
46071,Bluebellite,9,Trigonal pyramidal,78,0,1
46073,Flamite,6,Orthorhombic pyramidal,0,0,10
46075,Maruyamaite,11,Ditrigonal pyramidal,86,R3m,2
46077,Pilawite-(Y),5,Prismatic,14,P21/c ,2
46079,Warkite,2,Pinacoidal,2,P-1,2
46081,Kojonenite,27,Ditetragonal dipyramidal,176,I4/mmm ,4
46083,Bernarlottiite,2,Pinacoidal,2,P-1,1
46085,Thalliumpharmacosiderite,30,Hextetrahedral,208,F-4 3m,4
46093,Bonazziite,5,Prismatic,10,C2/c ,9
46095,Ivsite,5,Prismatic,14,P21/c ,3
46097,Petersite-(Ce),16,Hexagonal dipyramidal,108,P63/m,2
46099,Pieczkaite,16,Hexagonal dipyramidal,108,P63/m,3
46101,Geschieberite,6,Orthorhombic pyramidal,35,Pna21,1
46105,Mendigite,2,Pinacoidal,2,P-1,2
46107,Wernerkrauseite,8,Orthorhombic dipyramidal,71,Pnma ,1
46109,Flinteite,6,Orthorhombic pyramidal,35,Pna21,4
46111,Mellizinkalite,2,Pinacoidal,2,P-1,1
46113,Romanorlovite,27,Ditetragonal dipyramidal,176,I4/mmm ,1
46115,Spaltiite,5,Prismatic,14,P21/c ,1
46117,Jahnsite-(MnMnFe),5,Prismatic,12,P2/a,2
46123,Potassic-ferro-ferri-taramite,5,Prismatic,11,C2/m ,5
46135,Zincomenite,8,Orthorhombic dipyramidal,61,Pbca ,1
46137,Pharmazincite,15,Hexagonal pyramidal,104,0,1
46139,Shilovite,6,Orthorhombic pyramidal,37,Pnn2,1
46141,Chubarovite,12,Trigonal trapezohedral,93,R3 2,3
46143,Mieite-(Y),8,Orthorhombic dipyramidal,50,Cmcm ,1
46145,Plášilite,5,Prismatic,14,P21/c ,4
46147,Yusupovite,5,Prismatic,11,C2/m ,1
46149,Bosoite,20,Dihexagonal dipyramidal,124,P6/mmm ,1
46151,Tapiaite,0,Unknown,0,0,1
46153,Katiarsite,6,Orthorhombic pyramidal,35,Pna21,1
46155,Bavsiite,23,Tetragonal dipyramidal,135,I4/m,2
46157,Znamenskyite,8,Orthorhombic dipyramidal,59,Pbam ,1
46159,Keutschite,24,Tetragonal scalenohedral,142,I-4 2m,2
46162,Antipinite,2,Pinacoidal,2,P-1,3
46164,Adrianite,30,Hextetrahedral,209,0,1
46165,Cortesognoite,8,Orthorhombic dipyramidal,50,Cmcm ,1
46167,Bobcookite,2,Pinacoidal,2,P-1,6
46169,Vanarsite,5,Prismatic,14,P21/c ,1
46172,Dzierżanowskite,13,Hexagonal scalenohedral,97,P-3m1 ,1
46174,Khesinite,2,Pinacoidal,2,P-1,7
46176,Genplesite,20,Dihexagonal dipyramidal,126,P63/mmc ,2
46180,Kenotobermorite,0,Unknown,0,0,2
46195,Bunnoite,2,Pinacoidal,2,0,1
46226,Ferribushmakinite,5,Prismatic,15,P21/m ,3
46227,Bluestreakite,5,Prismatic,0,0,1
46228,Packratite,2,Pinacoidal,2,P-1,1
46229,Tewite,8,Orthorhombic dipyramidal,60,0,1
46246,Ferriandrosite-(Ce),5,Prismatic,15,P21/m ,3
46256,Argentotetrahedrite-(Fe),30,Hextetrahedral,210,0,19
46394,Chiappinoite-(Y),8,Orthorhombic dipyramidal,55,0,1
46414,Ferri-obertiite,5,Prismatic,11,C2/m ,8
46415,Bulgakite,2,Pinacoidal,2,0,1
46417,Barrydawsonite-(Y),5,Prismatic,14,P21/a,1
46421,Wetherillite,5,Prismatic,14,P21/c ,3
46423,Coldwellite,31,Gyroidal,220,P43 3 2,5
46425,Raisaite,5,Prismatic,10,C2/c ,2
46427,Melanarsite,5,Prismatic,10,C2/c ,1
46429,Andreadiniite,5,Prismatic,14,P21/c ,1
46432,Khvorovite,0,Unknown,0,0,1
46434,Bobshannonite,0,Unknown,0,0,1
46437,Rossovskyite,5,Prismatic,12,P2/c ,2
46438,Shuvalovite,8,Orthorhombic dipyramidal,71,Pnma ,1
46440,Cryobostryxite,5,Prismatic,14,P21/c ,1
46442,Bussyite-(Y),4,Sphenoidal,7,C2 ,1
46462,Trigodomeykite,10,Rhombohedral,79,P-3,7
46488,Meierite,32,Hexoctahedral,226,Im-3m ,1
46490,Abuite,7,Orthorhombic disphenoidal,44,P21 21 21,1
46492,Erazoite,13,Hexagonal scalenohedral,99,R-3m ,2
46494,Ziminaite,2,Pinacoidal,2,0,1
46496,Eckerite,5,Prismatic,10,C2/c ,2
46498,Flurlite,5,Prismatic,15,P21/m ,1
46500,Tululite,28,Tetartoidal,195,0,2
46502,Esquireite,4,Sphenoidal,7,C2 ,5
46504,Carlsonite,2,Pinacoidal,2,0,2
46506,Fermiite,6,Orthorhombic pyramidal,34,Pmn21,2
46508,Hedegaardite,11,Ditrigonal pyramidal,85,0,2
46510,Dyrnaesite-(La),8,Orthorhombic dipyramidal,71,Pnma ,1
46512,Mianningite,10,Rhombohedral,80,0,5
46514,Oppenheimerite,2,Pinacoidal,2,P-1,2
46516,Bettertonite,5,Prismatic,14,P21/c ,1
46518,Lefontite,8,Orthorhombic dipyramidal,49,Cmca ,2
46520,Vanderheydenite,5,Prismatic,0,0,1
46522,Ralphcannonite,24,Tetragonal scalenohedral,142,I-4 2m,1
46524,Svornostite,6,Orthorhombic pyramidal,34,0,1
46526,Ježekite,17,Ditrigonal dipyramidal,110,P-62m,1
46528,Palladosilicide,17,Ditrigonal dipyramidal,110,P-62m,2
46530,Arsmirandite,5,Prismatic,11,C2/m ,1
46532,Tvrdýite,5,Prismatic,10,C2/c ,3
46534,Agmantinite,0,Unknown,0,0,1
46536,Lipuite,8,Orthorhombic dipyramidal,73,Pnnm ,1
46545,Beckettite,2,Pinacoidal,2,P-1,1
46547,Addibischoffite,2,Pinacoidal,2,P-1,1
46550,Taniajacoite,1,Pedial,0,0,1
46555,Nolzeite,2,Pinacoidal,2,0,1
46557,Morrisonite,5,Prismatic,14,P21/c ,1
46559,Suseinargiuite,23,Tetragonal dipyramidal,136,0,1
46561,Ferrostalderite,24,Tetragonal scalenohedral,142,0,1
46564,Karpenkoite,13,Hexagonal scalenohedral,97,P-3m1 ,1
46566,Polloneite,4,Sphenoidal,9,P21 ,1
46568,Bosiite,11,Ditrigonal pyramidal,86,0,4
46570,Crimsonite,8,Orthorhombic dipyramidal,48,Cccm ,1
46572,Gatewayite,4,Sphenoidal,9,P21 ,1
46574,Jeffbenite,24,Tetragonal scalenohedral,141,0,4
46576,Fogoite-(Y),1,Pedial,1,0,3
46578,Tavagnascoite,6,Orthorhombic pyramidal,29,0,5
46580,Arsenowagnerite,5,Prismatic,14,P21/c ,1
46582,Möhnite,11,Ditrigonal pyramidal,84,P3m1,1
46586,Meieranite,0,Unknown,0,0,1
46606,Calciomurmanite,2,Pinacoidal,2,0,4
46608,Dravertite,5,Prismatic,0,0,2
46610,Honzaite,5,Prismatic,15,0,2
46612,Cryptochalcite,2,Pinacoidal,2,0,2
46614,Bubnovaite,11,Ditrigonal pyramidal,81,P3 1c,3
46617,Apexite,2,Pinacoidal,2,P-1,1
46619,Albertiniite,5,Prismatic,0,0,1
46621,Pauladamsite,2,Pinacoidal,2,P-1,2
46623,Perettiite-(Y),8,Orthorhombic dipyramidal,70,Pmna ,1
46625,Tsangpoite,0,Unknown,0,0,5
46627,Norilskite,12,Trigonal trapezohedral,89,P31 2 1,4
46629,Sulfhydrylbystrite,11,Ditrigonal pyramidal,81,P3 1c,1
46631,Czochralskiite,8,Orthorhombic dipyramidal,71,Pnma ,3
46633,Alexkhomyakovite,20,Dihexagonal dipyramidal,125,P63/mcm ,1
46635,Huizingite-(Al),2,Pinacoidal,2,0,3
46637,Decagonite,0,Unknown,0,0,1
46639,Melcherite,10,Rhombohedral,80,0,1
46643,Cerium,0,Unknown,0,0,1
46644,Metauramphite,0,Unknown,0,0,0
46670,Grundmannite,8,Orthorhombic dipyramidal,71,Pnma ,3
46673,Puninite,5,Prismatic,10,C2/c ,1
46675,Batievaite-(Y),2,Pinacoidal,2,0,1
46677,Saranchinaite,4,Sphenoidal,9,P21 ,2
46679,Jörgkellerite,10,Rhombohedral,79,0,1
46681,Andychristyite,2,Pinacoidal,2,0,2
46683,Alfredopetrovite,17,Ditrigonal dipyramidal,109,P-62c,1
46686,Ciriottiite,5,Prismatic,0,0,2
46688,Penberthycroftite,5,Prismatic,14,P21/c ,1
46690,Garronite-Na,4,Sphenoidal,0,0,2
46693,Strontioperloffite,5,Prismatic,15,P21/m ,1
46695,Odigitriaite,5,Prismatic,10,C2/c ,1
46697,Kayrobertsonite,2,Pinacoidal,2,P-1,2
46699,Canosioite,5,Prismatic,15,P21/m ,2
46701,Mendeleevite-(Nd),29,Diploidal,205,Pm3 ,1
46703,Żabińskiite,2,Pinacoidal,0,0,1
46705,Oxo-mangani-leakeite,5,Prismatic,11,C2/m ,1
46707,Kummerite,2,Pinacoidal,2,0,2
46709,Gazeevite,13,Hexagonal scalenohedral,99,R-3m ,5
46711,Chongite,5,Prismatic,10,C2/c ,4
46713,Gajardoite,20,Dihexagonal dipyramidal,124,P6/mmm ,1
46739,Wilancookite,28,Tetartoidal,197,0,1
46790,Dachiardite-K,0,Unknown,0,0,1
46792,Hydroterskite,8,Orthorhombic dipyramidal,0,0,2
46794,Lucchesiite,11,Ditrigonal pyramidal,86,0,2
46796,Hexacelsian,20,Dihexagonal dipyramidal,125,P63/mcm ,2
46798,Cyprine,23,Tetragonal dipyramidal,138,P4/n,11
46800,Ilirneyite,16,Hexagonal dipyramidal,108,0,1
